# Ideographic Description Sequences (IDS) for BabelStone Han PUA
# URL: https://babelstone.co.uk/CJK/IDS_PUA.TXT
# Font: https://www.babelstone.co.uk/Fonts/PUA.html
# Version 1.292 (2021-03-16)
#
U+E170		^⿺鬼輔$
U+E171		^⿺鬼弼$
U+E172		^⿰飠荅$
U+E173		^⿰羊羅$
U+E174		^⿰飠宋$
U+E175		^⿰口電$
U+E176		^⿰飠穸$
U+E177		^⿰口霜$
U+E178		^⿰口僧$
U+E179		^⿰口滅$
U+E17A		^⿰口水$
U+E17B		^⿰口佑$
U+E17C		^⿰口馘$
U+E17D		^⿵門耑$
U+E17E		^⿱例土$
U+E17F		^⿸鹿酉$
U+E180		^⿱秋全$
U+E181		^⿺辶閕$
U+E182		^⿰飠旁$
U+E183		^⿰巫阝$
U+E184		^⿺瓦缶$
U+E185		^⿰月刮$
U+E186		^⿰口⿰纟泵$
U+E187		^⿰口靄$
U+E188		^⿰釒般$
U+E189		^⿱𥫗彡$
U+E18A		^⿰忄𠫵$
U+E18B		^⿺辶雇$
U+E18C		^⿱艹瑳$
U+E18D		^⿰骨衆$
U+E18E		^⿰口𦂥$
U+E18F		^⿰木盒$
U+E190		^⿰山勘$
U+E191		^⿱冖盅$
U+E192		^⿱雷䖵$
U+E193		^⿲彳𡼡亍$
U+E194		^⿰墨刂$
U+E195		^⿸尸可$
U+E196		^⿰訁孔$
U+E197		^⿱𥫗⿰皮欠$
U+E198		^⿱⿰山匕一$
U+E199		^⿱伟大$
U+E19A		^⿱止夗$
U+E19B		^⿰𧾷貪$
U+E19C		^⿰衤⿱土石$
U+E19D		^⿰丅長$
U+E19E		^⿰口桻$
U+E19F		^⿰口炕$
U+E1A0		^⿰丨见$
U+E1A1		^⿰丰彡$
U+E1A2		^⿰仑禾$
U+E1A3		^⿰儿乌$
U+E1A4		^⿰光宗$
U+E1A5		^⿰口傜$
U+E1A7		^⿰口右$
U+E1A8		^⿰口币$
U+E1A9		^⿰口萧$
U+E1AA		^⿰扌幸 (⿰扌𦍒)$
U+E1AB		^⿰口选$
U+E1AC		^⿰合寻$
U+E1AD		^⿰喜鸟$
U+E1AE		^⿰女巫$
U+E1AF		^⿰女衮$
U+E1B0		^⿰女香$
U+E1B1		^⿰导虎$
U+E1B2		^⿰少鸟$
U+E1B3		^⿰巾乙$
U+E1B4		^⿰彳夏$
U+E1B5		^⿰彳隹$
U+E1B6		^⿰忄刺$
U+E1B7		^⿰意意$
U+E1B8		^⿰手八$
U+E1B9		^⿰斑鸟$
U+E1BA		^⿰日里$
U+E1BB		^⿰日𬜯$
U+E1BC		^⿰昔页$
U+E1BD		^⿰月胥$
U+E1BE		^⿰月芦$
U+E1BF		^⿰月𠇄$
U+E1C0		^⿰月𢆉$
U+E1C1		^⿰木凹$
U+E1C3		^⿰木园$
U+E1C4		^⿰木季$
U+E1C5		^⿰木岜$
U+E1C6		^⿰木窑$
U+E1C7		^⿰木窝$
U+E1C8		^⿰木笕$
U+E1C9		^⿰木筒$
U+E1CB		^⿰木芕$
U+E1CC		^⿰木赘$
U+E1CD		^⿰木㐫$
U+E1CE		^⿰木𤯚$
U+E1CF		^⿰木𭻍$
U+E1D0		^⿰束页$
U+E1D1		^⿰架鸟$
U+E1D2		^⿰每口$
U+E1D3		^⿰气奏$
U+E1D4		^⿰氵丈$
U+E1D5		^⿰氵士$
U+E1D6		^⿰氵六$
U+E1D7		^⿰氵劣$
U+E1D8		^⿰氵匆$
U+E1D9		^⿰氵双$
U+E1DA		^⿰氵恋$
U+E1DB		^⿰氵搏$
U+E1DC		^⿰氵爹$
U+E1DD		^⿰氵电$
U+E1DE		^⿰氵苦$
U+E1DF		^⿰氵菁$
U+E1E0		^⿰氵那$
U+E1E1		^⿰氵颜$
U+E1E2		^⿰氵𡰷$
U+E1E3		^⿰氵𡸺$
U+E1E4		^⿰洪鸟$
U+E1E5		^⿰火幸$
U+E1E6		^⿰牜穴$
U+E1E7		^⿰犭了$
U+E1E8		^⿰犭五$
U+E1E9		^⿰犭可$
U+E1EA		^⿰犭后$
U+E1EC		^⿰田蜀$
U+E1ED		^⿰白亚$
U+E1EE		^⿰矢主$
U+E1EF		^⿰矢盛$
U+E1F0		^⿰石上$
U+E1F1		^⿰石下$
U+E1F2		^⿰石乙$
U+E1F4		^⿰石商$
U+E1F5		^⿰石壬$
U+E1F6		^⿰石奉$
U+E1F7		^⿰石孔$
U+E1F8		^⿰石寨$
U+E1F9		^⿰石寮$
U+E1FA		^⿰石尕$
U+E1FB		^⿰石幻$
U+E1FC		^⿰石弯$
U+E1FD		^⿰石普$
U+E1FE		^⿰石淼$
U+E1FF		^⿰石炎$
U+E200		^⿰石片$
U+E201		^⿰石牛$
U+E202		^⿰石特$
U+E203		^⿰石窊$
U+E204		^⿰石管$
U+E205		^⿰石者$
U+E206		^⿰石舌$
U+E207		^⿰石茂$
U+E208		^⿰石茶$
U+E209		^⿰石菓$
U+E20A		^⿰石费$
U+E20B		^⿰石𬙙$
U+E20C		^⿰禾产$
